The [entries] sheet shows the entries for words with IDs ending in "01" (201, 4701, 53401, etc) 
from the collocates table that is used to create the frequency listings that are based on the 
Corpus of Contemporary American English (COCA).

The complete list is available for purchase. See:

http://www.wordfrequency.info [Purchase]

There are minimum values in terms of collocate frequency and Mutual Information (MI) score
for inclusion in the list.

Mutual Information:
ID 1-5 : MI > -3.5
ID 6-29 : MI > -1
ID: 30-99 : ID > 1
ID: 100-30,000 : ID > 2
ID: 30,000-60,000 : ID > 3

Collocate frequency:
ID 1-40,000 : freq >= 2
ID 40,000-60,000 : freq >= 1

---------------------------------------------

The column [% coll < node] refers to the percentage of the tokens for
this collocate and node word where the collocate precedes the node word.

The node and collocate part of speech (PoS) tags can be found at http://ucrel.lancs.ac.uk/claws7tags.html.

For more information:

http://www.wordfrequency.info: Word frequent lists
http://www.americancorpus.org: Corpus of Contemporary American English (COCA)
http://davies-linguistics.byu.edu/ : Mark Davies



ID	lemma	lemPoS	coll	collPoS	MI	freq	[% coll < node]
201	government	n	representative	n	2.68	440	0.5329
201	government	n	fund	v	3.53	428	0.4543
201	government	n	aid	n	2.33	424	0.2995
201	government	n	revenue	n	2.34	424	0.3683
201	government	n	opposition	n	2.5	422	0.4717
201	government	n	provincial	j	5.06	417	0.9233
201	government	n	regional	j	2.27	413	0.8478
201	government	n	overthrow	v	5.73	402	0.8924
201	government	n	impose	v	2.81	394	0.295
201	government	n	sector	n	2.48	392	0.3955
201	government	n	demand	v	2.05	383	0.6276
201	government	n	regulate	v	3.51	371	0.1958
201	government	n	limited	j	2.43	368	0.7676
201	government	n	civilian	j	3.33	367	0.8726
201	government	n	issue	v	2.34	363	0.2108
201	government	n	involvement	n	2.69	361	0.2265
201	government	n	legitimate	j	3.34	360	0.837
201	government	n	corporation	n	2.32	350	0.4322
201	government	n	grant	v	2.29	338	0.2895
201	government	n	oppose	v	2.28	335	0.5908
201	government	n	bureaucracy	n	4.11	329	0.1627
201	government	n	unity	n	3.43	318	0.6991
201	government	n	constitutional	j	2.75	317	0.6855
201	government	n	representative	j	3.61	315	0.9088
201	government	n	municipal	j	3.9	311	0.9164
201	government	n	accuse	v	2.24	310	0.5975
201	government	n	dollar	n	2.67	306	0.5277
201	government	n	corruption	n	3.44	297	0.4367
201	government	n	criticize	v	2.57	283	0.7631
201	government	n	accountability	n	3.81	276	0.1775
201	government	n	elected	j	4.08	270	0.8804
201	government	n	sue	v	2.85	266	0.7164
201	government	n	tribal	j	3.4	265	0.8566
201	government	n	negotiate	v	2.39	253	0.3774
201	government	n	subsidize	v	4.7	252	0.2674
201	government	n	urge	v	2.17	247	0.7198
201	government	n	colonial	j	2.82	246	0.9065
201	government	n	implement	v	2.06	246	0.2328
201	government	n	approval	n	2.36	242	0.2955
201	government	n	rebel	n	3.09	239	0.4878
201	government	n	regulator	n	3.59	238	0.0622
201	government	n	expenditure	n	3.65	236	0.1193
201	government	n	entity	n	3.13	235	0.1617
201	government	n	mandate	n	3.01	230	0.1974
201	government	n	deficit	n	2.02	228	0.3463
201	government	n	ban	v	2.73	227	0.2571
201	government	n	transitional	j	4.8	224	0.9509
201	government	n	spokesman	n	2.23	220	0.1956
201	government	n	incentive	n	2.29	218	0.3108
201	government	n	authoritarian	j	4.34	217	0.8869
201	government	n	cooperate	v	3.11	214	0.6211
201	government	n	finance	v	2.74	212	0.4931
201	government	n	shutdown	n	5.68	208	0.1604
201	government	n	favor	v	2.07	207	0.5721
201	government	n	corrupt	j	3.92	204	0.6796
201	government	n	ministry	n	2.17	198	0.1465
201	government	n	bureaucrat	n	4.2	197	0.0909
201	government	n	cooperation	n	2.08	196	0.6768
201	government	n	part	i	3.23	194	0.9845
201	government	n	oversight	n	3.87	194	0.2383
201	government	n	interference	n	4	193	0.1869
201	government	n	reinvent	v	4.69	192	0.9631
201	government	n	enforce	v	2.64	191	0.1837
201	government	n	restriction	n	2.35	188	0.2169
201	government	n	divided	j	4.61	186	0.9474
201	government	n	statistics	n	2.05	183	0.1421
201	government	n	prohibit	v	2.85	181	0.4821
201	government	n	provisional	j	5.14	180	0.9611
201	government	n	communist	j	2.03	177	0.9282
201	government	n	partnership	n	2.06	168	0.7778
301	white	j	black	j	5.86	21160	0.8764
301	white	j	man	n	2.51	5636	0.1846
301	white	j	wear	v	3.48	2068	0.8885
301	white	j	blue	j	4.09	1943	0.4761
301	white	j	shirt	n	5.25	1941	0.0797
301	white	j	red	j	3.48	1764	0.6125
301	white	j	figure	n	3.13	1617	0.0616
301	white	j	hair	n	3.29	1593	0.2613
301	white	j	wine	n	4.65	1570	0.0515
301	white	j	male	n	4.6	1305	0.0581
301	white	j	light	n	2.32	1056	0.1538
301	white	j	paper	n	2.46	1011	0.0937
301	white	j	cup	n	2.98	993	0.6523
301	white	j	dress	n	4.26	970	0.2127
301	white	j	wall	n	2.08	848	0.2791
301	white	j	green	j	2.88	763	0.4392
301	white	j	yellow	j	3.75	731	0.4414
301	white	j	coat	n	4.22	707	0.1748
301	white	j	tooth	n	3.79	675	0.2699
301	white	j	skin	n	2.83	673	0.385
301	white	j	red	n	4.14	663	0.8869
301	white	j	flower	n	3.39	659	0.1534
301	white	j	suit	n	3.23	616	0.3806
301	white	j	male	j	3.35	612	0.1167
301	white	j	pink	j	4.17	588	0.5763
301	white	j	dress	v	3.2	583	0.8998
301	white	j	blood	n	2.1	582	0.1758
301	white	j	cell	n	2.43	577	0.0931
301	white	j	predominantly	r	5.97	573	0.9548
301	white	j	sheet	n	3.53	569	0.2003
301	white	j	bread	n	3.81	562	0.0587
301	white	j	brown	j	3.33	543	0.533
301	white	j	gray	j	3.69	543	0.4936
301	white	j	mostly	r	2.97	529	0.8849
301	white	j	horse	n	2.78	519	0.0939
301	white	j	dark	j	2.33	501	0.4095
301	white	j	folk	n	2.86	500	0.0736
301	white	j	cloud	n	3.39	494	0.2659
301	white	j	bright	j	3.03	493	0.7709
301	white	j	paint	v	3.07	487	0.8277
301	white	j	collar	n	5.12	485	0.1449
301	white	j	cotton	n	4.18	464	0.104
301	white	j	supremacist	n	8.44	460	0.0064
301	white	j	pine	n	4.19	448	0.1017
301	white	j	sand	n	3.57	448	0.1038
301	white	j	blouse	n	5.85	442	0.0676
301	white	j	rice	n	3.18	435	0.1697
301	white	j	hat	n	3.3	429	0.2558
301	white	j	paint	n	3.73	408	0.1108
301	white	j	dry	j	2.83	405	0.9392
301	white	j	pepper	n	3.06	401	0.1538
301	white	j	voter	n	2.63	397	0.1337
301	white	j	shoe	n	2.58	387	0.2214
301	white	j	middle-class	j	4.95	386	0.2791
301	white	j	dwarf	n	5.79	383	0.036
301	white	j	black	n	2.7	381	0.5346
301	white	j	vinegar	n	5.02	381	0.0933
301	white	j	teaspoon	n	3.29	377	0.5526
301	white	j	bean	n	3.34	370	0.1027
301	white	j	glove	n	3.89	365	0.0458
301	white	j	chocolate	n	3.59	358	0.1212
301	white	j	shark	n	4.52	352	0.0254
301	white	j	jacket	n	3.25	351	0.2969
301	white	j	robe	n	4.91	347	0.1089
301	white	j	thin	j	2.63	344	0.7931
301	white	j	plastic	n	2.55	343	0.1289
301	white	j	marble	n	4.78	341	0.0638
301	white	j	uniform	n	3.78	336	0.2294
301	white	j	pure	j	3.33	334	0.9024
301	white	j	flag	n	3.34	333	0.1276
301	white	j	thick	j	2.7	331	0.8279
301	white	j	tiny	j	2.2	327	0.8399
301	white	j	sock	n	4.41	324	0.1407
301	white	j	tablespoon	n	3.05	323	0.5697
301	white	j	linen	n	5.2	321	0.0895
301	white	j	soft	j	2.25	318	0.7774
301	white	j	snow	n	2.39	318	0.2722
301	white	j	tie	n	2.86	312	0.2785
301	white	j	cloth	n	3.94	308	0.071
301	white	j	flour	n	3.83	307	0.1954
301	white	j	clean	j	2.37	302	0.8182
301	white	j	plain	j	3.97	301	0.9578
301	white	j	stripe	n	5.23	301	0.0987
301	white	j	beard	n	4.39	295	0.1443
301	white	j	pale	j	3.39	290	0.5642
301	white	j	minority	n	2.34	289	0.2721
301	white	j	silk	n	4.05	288	0.1365
301	white	j	gown	n	4.75	287	0.1655
301	white	j	female	n	2.65	285	0.2103
301	white	j	sugar	n	2.24	280	0.3875
301	white	j	cap	n	2.93	270	0.1964
301	white	j	jeans	n	3.67	269	0.63
301	white	j	meat	n	2.42	260	0.1641
301	white	j	powder	n	3.47	257	0.0775
